elec,office,county,dist,jID,n_dr,open,row_id_R,row_id_D,cand_R,cand_D,incumbency_R,incumbency_D,hits_R,hits_D,money_R,money_D,Rmoneyadv,Rnewsadv
2012-11-06,CCD,Colleton,23,2012-11-06_CCD_Colleton_23,2,0,202,203,David Stanfield,Phillip M Taylor,0,1,1,34,0,2525,-7.8343923029104365,-2.862200880929468
2012-11-06,HOU,,97,2012-11-06_HOU_97,2,0,205,204,Ed Carter,Patsy G Knight,0,1,70,73,54247.32,30763.79,0.5672011699685324,-0.04138521616285473
2012-11-06,HOU,,62,2012-11-06_HOU_62,2,0,207,206,Ronald Reese Page,Robert Williams,0,1,5,180,3983,16880,-1.4439023893969,-3.406737562037771
2012-11-06,SEN,,36,2012-11-06_SEN_36,2,1,208,209,Leon Winn,Kevin L Johnson,0,0,2,464,6041.37,61822.79,-2.3254919227549813,-5.043425116919246
2012-11-06,HOU,,57,2012-11-06_HOU_57,2,1,210,211,Eric Fry,J Wayne George,0,0,14,38,2150,39650,-2.9141833181581864,-0.9555114450274362
2012-11-06,SEN,,28,2012-11-06_SEN_28,2,1,213,212,Greg Hembree,Butch Johnson,0,0,403,43,95201,1244.9,4.336142789657328,2.2172252440428895
2012-11-06,HOU,,63,2012-11-06_HOU_63,2,0,215,214,Kris Crawford,Austin Smith,1,0,89,141,53550,2880,2.9224970147533273,-0.45601738727099583
2012-11-06,USH,,4,2012-11-06_USHOU_4,2,0,216,217,Trey Gowdy,Deb Morrow,1,0,591,35,247231.12,2840,4.4661715495457095,2.7999876964278956
2012-11-06,SEN,,7,2012-11-06_SEN_7,2,1,219,218,Jane Kizer,Karl B Allen,0,0,0,50,11334.09,51089.12,-1.5056879081993966,-3.9318256327243257
2012-11-06,SEN,,12,2012-11-06_SEN_12,2,0,220,221,Lee Bright,Henri Thompson,1,0,520,21,202331.1,7924,3.2398880870575724,3.164707588395051
2012-11-06,CLR,Greenwood,,,,,223,222,Angie Woodhurst,Felicia Kinard Moton,,,12,1,,,,1.8718021769015913
2012-11-06,HOU,,14,2012-11-06_HOU_14,2,0,225,224,Mike Pitts,Ed Taylor,1,0,183,150,52489.12,16327.67,1.1677025029387007,0.19765592079406158
2012-11-06,CCD,Horry,10,2012-11-06_CCD_Horry_10,2,0,226,227,Jody Prince,Kenneth Robinson,1,0,112,22,1000,25,3.6506582412937383,1.5918936027831911
2012-11-06,HOU,,104,2012-11-06_HOU_104,2,0,229,228,Tracy R Edge,Charles Randall,1,0,195,51,4550,3373.8,0.2990109257251703,1.3268709406490893
2012-11-06,CLR,Jasper,,,,,233,230,Kim Thomas,Margaret Bostick,0,1,36,10,,,,1.2130226398458537
2012-11-06,JPR,Jasper,,2012-11-06_JPRB_Jasper,2,0,232,231,Brenda Horton,Buster Kleckley,1,0,5,6,0,0,0,-0.15415067982725827
2012-11-06,HOU,,52,2012-11-06_HOU_52,2,0,235,234,David Herndon,Laurie Slade Funderburk,0,1,15,15,5050,104535.92,-3.0299540669581013,0
2012-11-06,SEN,,35,2012-11-06_SEN_35,2,1,237,236,Tony Barwick,Thomas McElveen,0,0,39,47,179355.38,212184.79,-0.16808748256264394,-0.1823215567939549
2012-11-06,SHF,Lancaster,,2012-11-06_SHF_Lancaster,2,0,239,238,Scott R Case,Barry Faile,0,1,70,770,4540,44740.83,-2.2877616061047465,-2.3850084965220137
2012-11-06,CCD,Lancaster,5,2012-11-06_CCD_Lancaster_5,2,1,240,241,Steve Harper,Kathy G Sistare,0,0,30,323,3725,350,2.362304327695668,-2.3467563113071828
2012-11-06,HOU,,44,2012-11-06_HOU_44,2,1,242,243,Ryan Payne,Mandy Powers Norrell,0,0,41,55,15859.12,60784.77,-1.3435479331440714,-0.28768207245178123
2012-11-06,HOU,,53,2012-11-06_HOU_53,2,0,244,245,Richie Yow,Ted Martin Vick,0,1,59,1,22590,61589.15,-1.002950358281204,3.401197381662155
2012-11-06,CLR,Lexington,,,,,246,247,Beth A Carrigg,Joan Waggoner Guy,,,38,10,,,,1.2656663733312756
2012-11-06,SEN,,20,2012-11-06_SEN_20,2,0,249,248,John Courson,Robert Rikard,1,0,776,98,289845.14,128028.64,0.8170884308508555,2.0603205002330576
2012-11-06,HOU,,69,2012-11-06_HOU_69,2,0,250,251,Rick Quinn,Robert Bob Vanlue,1,0,120,5,38444.12,813,3.8550266828010464,3.0040310763686864
2012-11-06,CTRES,Newberry,,,,,253,252,Jackie W Haltiwanger,Karen D Lindler,0,0,6,33,,,,-1.5804503755608483
2012-11-06,CCD,Newberry,1,2012-11-06_CCD_Newberry_1,2,0,254,255,Scott Cain,Tim Carroll,1,0,29,120,2670,1300,0.7193197345974562,-1.3945931639345859
2012-11-06,HOU,,1,2012-11-06_HOU_1,2,0,256,259,Bill Whitmire,John W Hester,1,0,118,34,19599.12,,,1.223775431622116
2012-11-06,CCD,Oconee,4,2012-11-06_CCD_Oconee_4,2,0,257,258,Joel R Thrift,Jack T Collins,1,0,587,85,0,0,0,1.9223796516451195
2012-11-06,CCD,Orangeburg,4,2012-11-06_CCD_Orangeburg_4,2,0,261,260,Charles Inglett,Heyward Livingston,0,1,9,78,2080,450,1.5291364868909554,-2.0668627594729756
2012-11-06,HOU,,78,2012-11-06_HOU_78,2,0,263,262,Joan Brady,Beth Bernstein,1,0,241,47,125681.23,190788.17,-0.41741225913148483,1.6177367152487956
2012-11-06,HOU,,76,2012-11-06_HOU_76,2,0,265,264,Chuck Hill,Leon Howard,0,1,14,87,2862.39,31958.23,-2.41245479040583,-1.7692866133759968
2012-11-06,HOU,,75,2012-11-06_HOU_75,2,1,267,266,Kirkman Finlay III,Joe McCulloch,0,0,36,58,257190.32,138712.43,0.6174100934190587,-0.46661953126149536
2014-11-04,GOV,,,2014-11-04_GOV,2,0,268,278,Nikki R Haley,Vincent Sheheen,1,0,28660,3792,,,,2.0223800509198675
2014-11-04,LGV,,,2014-11-04_LGV,2,1,269,279,Henry McMaster,Bakari Sellers,0,0,1286,1425,,,,-0.10255939337811437
2014-11-04,ATG,,,2014-11-04_ATG,2,0,270,280,Alan Wilson,Parnell Diggs,1,0,3781,201,,,,2.929740551817198
2014-11-04,SOS,,,2014-11-04_SOS,2,0,271,281,Mark Hammond,Ginny Deerin,1,0,472,254,,,,0.6178318433335068
2014-11-04,SSI,,,2014-11-04_SSI,2,1,272,282,Molly Mitchell Spearman,Tom Thompson,0,0,78,454,,,,-1.7508495664839288
2014-11-04,USSEN1,,0,2014-11-04_USSEN1_0,2,0,273,283,Lindsey Graham,Brad Hutto,1,0,11431,2078,,,,1.7045294317516895
2014-11-04,USSEN2,,2,2014-11-04_USSEN2_2,2,1,274,284,Tim Scott,Joyce Dickerson,0,0,5945,879,,,,1.910552096085791
